Symbol,Dates,PrevClose,OpenPrice,HighPrice,LowPrice,ClosePrice
APOLLOHOSP,2017-11-02,1033.85,1029.2,1045,1029,1032.85
APOLLOHOSP,2017-11-03,1032.85,1030,1044,1016.1,1022.7
APOLLOHOSP,2017-11-06,1022.7,1016,1022.45,1010,1012.25
APOLLOHOSP,2017-11-07,1012.25,1020,1020.9,1001,1003.05
APOLLOHOSP,2017-11-08,1003.05,1009.9,1009.9,975.55,989
APOLLOHOSP,2017-11-09,989,996,1000,987.8,995.7
APOLLOHOSP,2017-11-10,995.7,995,1016.8,994.7,1000.25
APOLLOHOSP,2017-11-13,1000.25,1008.85,1019,983.15,996.65
APOLLOHOSP,2017-11-14,996.65,999,1012.2,957.15,985.95
APOLLOHOSP,2017-11-15,985.95,991,1002.35,990,997.75
APOLLOHOSP,2017-11-16,997.75,1007.1,1026.75,998,1022.05
APOLLOHOSP,2017-11-17,1022.05,1027.4,1067,1023.8,1054.85
APOLLOHOSP,2017-11-20,1054.85,1058.4,1063.3,1037.55,1059.6
APOLLOHOSP,2017-11-21,1059.6,1068.55,1128,1060,1107.8
APOLLOHOSP,2017-11-22,1107.8,1110,1157,1110,1149.5
APOLLOHOSP,2017-11-23,1149.5,1149,1149,1125.85,1139.55
APOLLOHOSP,2017-11-24,1139.55,1130,1153,1121,1145.2
APOLLOHOSP,2017-11-27,1145.2,1135.15,1140,1118.1,1132
APOLLOHOSP,2017-11-28,1132,1132.4,1167.15,1091,1109.2
APOLLOHOSP,2017-11-29,1109.2,1103,1121.6,1097.3,1106.1
APOLLOHOSP,2017-11-30,1106.1,1110,1124,1085.35,1106.3
APOLLOHOSP,2017-12-01,1106.3,1117.95,1153.1,1116.1,1148.25
APOLLOHOSP,2017-12-04,1148.25,1147,1164.3,1130.6,1156.45
APOLLOHOSP,2017-12-05,1156.45,1156.45,1179.9,1143.15,1166.1
APOLLOHOSP,2017-12-06,1166.1,1156.5,1165,1147,1154.5
APOLLOHOSP,2017-12-07,1154.5,1150.5,1175.6,1150,1172.5
APOLLOHOSP,2017-12-08,1172.5,1182,1194,1173.05,1190.7
APOLLOHOSP,2017-12-11,1190.7,1190,1209,1186,1190.1
APOLLOHOSP,2017-12-12,1190.1,1199.85,1201.95,1176.4,1190.2
APOLLOHOSP,2017-12-13,1190.2,1188.8,1192.85,1174,1183.6
APOLLOHOSP,2017-12-14,1183.6,1183.95,1210,1183.95,1206.9
APOLLOHOSP,2017-12-15,1206.9,1206.9,1214.95,1178.55,1198.1
APOLLOHOSP,2017-12-18,1198.1,1198.5,1200.8,1161.75,1172.85
APOLLOHOSP,2017-12-19,1172.85,1173.5,1188,1156.1,1174.7
APOLLOHOSP,2017-12-20,1174.7,1178,1190.4,1168.5,1173.65
APOLLOHOSP,2017-12-21,1173.65,1176.65,1202.25,1161.3,1193.35
APOLLOHOSP,2017-12-22,1193.35,1195,1208,1174.65,1178.55
APOLLOHOSP,2017-12-26,1178.55,1180,1192.9,1168.4,1179.6
APOLLOHOSP,2017-12-27,1179.6,1187,1203,1176.1,1200.05
APOLLOHOSP,2017-12-28,1200.05,1201.2,1242,1200,1232.25
APOLLOHOSP,2017-12-29,1232.25,1230,1230,1200.15,1204.8
APOLLOHOSP,2018-01-01,1204.8,1216,1216,1199.1,1202.55
APOLLOHOSP,2018-01-02,1202.55,1205,1212,1186.5,1191.95
APOLLOHOSP,2018-01-03,1191.95,1195,1203.95,1173,1176.5
APOLLOHOSP,2018-01-04,1176.5,1185,1188.45,1156.75,1160.1
APOLLOHOSP,2018-01-05,1160.1,1168,1199,1160,1196.3
APOLLOHOSP,2018-01-08,1196.3,1192,1209,1175.1,1180.7
APOLLOHOSP,2018-01-09,1180.7,1189,1190.75,1170,1172.35
APOLLOHOSP,2018-01-10,1172.35,1174,1180,1158.9,1172.15
APOLLOHOSP,2018-01-11,1172.15,1175.75,1194,1170,1172.4
APOLLOHOSP,2018-01-12,1172.4,1178.45,1182.65,1160,1163.35
APOLLOHOSP,2018-01-15,1163.35,1175.8,1182.35,1167.85,1179.45
APOLLOHOSP,2018-01-16,1179.45,1184,1184,1138.65,1147.2
APOLLOHOSP,2018-01-17,1147.2,1140,1143.3,1118.35,1125.7
APOLLOHOSP,2018-01-18,1125.7,1132,1134.5,1106.05,1116.45
APOLLOHOSP,2018-01-19,1116.45,1116,1144,1115.9,1139.4
APOLLOHOSP,2018-01-22,1139.4,1148,1172,1141.95,1168.8
APOLLOHOSP,2018-01-23,1168.8,1173,1175,1142.05,1146.5
APOLLOHOSP,2018-01-24,1146.5,1146.5,1152.2,1105.9,1110.8
APOLLOHOSP,2018-01-25,1110.8,1117,1138.5,1108,1133.7
APOLLOHOSP,2018-01-29,1133.7,1144,1148,1127,1138.7
APOLLOHOSP,2018-01-30,1138.7,1136,1148.95,1119,1140.05
APOLLOHOSP,2018-01-31,1140.05,1135,1173.85,1135,1162.8
APOLLOHOSP,2018-02-01,1162.8,1165,1224.55,1160.3,1218.55
APOLLOHOSP,2018-02-02,1218.55,1209.95,1209.95,1140,1156.95
APOLLOHOSP,2018-02-05,1156.95,1144.5,1160.8,1125.85,1129.55
APOLLOHOSP,2018-02-06,1129.55,1114,1158.4,1086.35,1140.9
APOLLOHOSP,2018-02-07,1140.9,1159.7,1159.7,1121.9,1132.7
APOLLOHOSP,2018-02-08,1132.7,1132,1157.05,1115.8,1131.8
APOLLOHOSP,2018-02-09,1131.8,1110,1132.25,1108.05,1122.7
APOLLOHOSP,2018-02-12,1122.7,1122,1165,1120.05,1151.55
APOLLOHOSP,2018-02-14,1151.55,1160,1200,1160,1191.8
APOLLOHOSP,2018-02-15,1191.8,1191.8,1215.9,1160.55,1207.95
APOLLOHOSP,2018-02-16,1207.95,1235,1244.2,1122,1141.85
APOLLOHOSP,2018-02-19,1141.85,1152,1194.8,1148,1186.2
APOLLOHOSP,2018-02-20,1186.2,1180,1215.95,1179.95,1199.25
APOLLOHOSP,2018-02-21,1199.25,1192,1219,1176,1211.2
APOLLOHOSP,2018-02-22,1211.2,1195,1250,1195,1246.45
APOLLOHOSP,2018-02-23,1246.45,1245,1245,1218.55,1231.6
APOLLOHOSP,2018-02-26,1231.6,1235,1263.4,1226.6,1235.55
APOLLOHOSP,2018-02-27,1235.55,1246.7,1246.7,1192.7,1196.7
APOLLOHOSP,2018-02-28,1196.7,1190.2,1209.1,1180.35,1203.05
APOLLOHOSP,2018-03-01,1203.05,1200.5,1210,1180.75,1183.5
APOLLOHOSP,2018-03-05,1183.5,1184.65,1196.6,1161.65,1167.9
APOLLOHOSP,2018-03-06,1167.9,1170.1,1189,1145,1160.8
APOLLOHOSP,2018-03-07,1160.8,1165.7,1183,1135.25,1152.35
APOLLOHOSP,2018-03-08,1152.35,1150,1172.4,1143.45,1162.7
APOLLOHOSP,2018-03-09,1162.7,1173.7,1173.7,1145.8,1149.05
APOLLOHOSP,2018-03-12,1149.05,1152,1153.4,1114.2,1129.65
APOLLOHOSP,2018-03-13,1129.65,1130,1130.5,1090,1095.9
APOLLOHOSP,2018-03-14,1095.9,1087.7,1095.8,1082.95,1090.15
APOLLOHOSP,2018-03-15,1090.15,1092,1115.5,1087.6,1096
APOLLOHOSP,2018-03-16,1096,1094.95,1096.25,1065,1071.65
APOLLOHOSP,2018-03-19,1071.65,1073,1080.4,1037.2,1056.2
APOLLOHOSP,2018-03-20,1056.2,1056,1059.7,1041.1,1042.8
APOLLOHOSP,2018-03-21,1042.8,1049,1080,1026,1028.45
APOLLOHOSP,2018-03-22,1028.45,1028,1033.5,1013.3,1022.3
APOLLOHOSP,2018-03-23,1022.3,1011.65,1016.05,1003,1008.35
APOLLOHOSP,2018-03-26,1008.35,1009,1018.65,993.4,1005.05
APOLLOHOSP,2018-03-27,1005.05,1008.2,1042.35,1008.05,1029.85
APOLLOHOSP,2018-03-28,1029.85,1030,1071.1,1020,1064.65
APOLLOHOSP,2018-04-02,1064.65,1066,1104.95,1056,1098.2
APOLLOHOSP,2018-04-03,1098.2,1092,1125,1084,1095.85
APOLLOHOSP,2018-04-04,1095.85,1095.85,1104.05,1061,1066.95
APOLLOHOSP,2018-04-05,1066.95,1075,1091.6,1075,1083.7
APOLLOHOSP,2018-04-06,1083.7,1085.75,1101,1071.6,1076.3
APOLLOHOSP,2018-04-09,1076.3,1098,1098,1056,1061.1
APOLLOHOSP,2018-04-10,1061.1,1070,1098,1051.6,1086.3
APOLLOHOSP,2018-04-11,1086.3,1097.7,1118.55,1086.7,1109.55
APOLLOHOSP,2018-04-12,1109.55,1115,1118.65,1071.45,1076
APOLLOHOSP,2018-04-13,1076,1085.1,1088,1071,1082.35
APOLLOHOSP,2018-04-16,1082.35,1082.4,1104.35,1069.3,1093.8
APOLLOHOSP,2018-04-17,1093.8,1093,1094,1076.65,1083.45
APOLLOHOSP,2018-04-18,1083.45,1090,1091,1071,1076.1
APOLLOHOSP,2018-04-19,1076.1,1084,1126.9,1080,1122
APOLLOHOSP,2018-04-20,1122,1128.5,1143.9,1108.85,1134
